Timestamp,Watts,Kilowatts
2024-08-19 00:00:00,5382,5.382
2024-08-19 00:05:00,5040,5.04
2024-08-19 00:10:00,4320,4.32
2024-08-19 00:15:00,4800,4.8
2024-08-19 00:20:00,4800,4.8
2024-08-19 00:25:00,4649,4.649
2024-08-19 00:30:00,4800,4.8
2024-08-19 00:35:00,4920,4.92
2024-08-19 00:40:00,4425,4.425
2024-08-19 00:45:00,4680,4.68
2024-08-19 00:50:00,4800,4.8
2024-08-19 00:55:00,6100,6.1
2024-08-19 01:00:00,4920,4.92
2024-08-19 01:05:00,4440,4.44
2024-08-19 01:10:00,4186,4.186
2024-08-19 01:15:00,4784,4.784
2024-08-19 01:20:00,4680,4.68
2024-08-19 01:25:00,4440,4.44
2024-08-19 01:30:00,5262,5.262
2024-08-19 01:35:00,4440,4.44
2024-08-19 01:40:00,4680,4.68
2024-08-19 01:45:00,4291,4.291
2024-08-19 01:50:00,4440,4.44
2024-08-19 01:55:00,4680,4.68
2024-08-19 02:00:00,5262,5.262
2024-08-19 02:05:00,4784,4.784
2024-08-19 02:10:00,6000,6.0
2024-08-19 02:15:00,4440,4.44
2024-08-19 02:20:00,4784,4.784
2024-08-19 02:25:00,4560,4.56
2024-08-19 02:30:00,5160,5.16
2024-08-19 02:35:00,4664,4.664
2024-08-19 02:40:00,4800,4.8
2024-08-19 02:45:00,4920,4.92
2024-08-19 02:50:00,5023,5.023
2024-08-19 02:55:00,4800,4.8
2024-08-19 03:00:00,5520,5.52
2024-08-19 03:05:00,5741,5.741
2024-08-19 03:10:00,4800,4.8
2024-08-19 03:15:00,4800,4.8
2024-08-19 03:20:00,4425,4.425
2024-08-19 03:25:00,6000,6.0
2024-08-19 03:30:00,5400,5.4
2024-08-19 03:35:00,5245,5.245
2024-08-19 03:40:00,5040,5.04
2024-08-19 03:45:00,5040,5.04
2024-08-19 03:50:00,5502,5.502
2024-08-19 03:55:00,4800,4.8
2024-08-19 04:00:00,5040,5.04
2024-08-19 04:05:00,4545,4.545
2024-08-19 04:10:00,5040,5.04
2024-08-19 04:15:00,5280,5.28
2024-08-19 04:20:00,4425,4.425
2024-08-19 04:25:00,4425,4.425
2024-08-19 04:30:00,5160,5.16
2024-08-19 04:35:00,6120,6.12
2024-08-19 04:40:00,6000,6.0
2024-08-19 04:45:00,4800,4.8
2024-08-19 04:50:00,4800,4.8
2024-08-19 04:55:00,5143,5.143
2024-08-19 05:00:00,5160,5.16
2024-08-19 05:05:00,5400,5.4
2024-08-19 05:10:00,5621,5.621
2024-08-19 05:15:00,4800,4.8
2024-08-19 05:20:00,4920,4.92
2024-08-19 05:25:00,4425,4.425
2024-08-19 05:30:00,5126,5.126
2024-08-19 05:35:00,4680,4.68
2024-08-19 05:40:00,4800,4.8
2024-08-19 05:45:00,4920,4.92
2024-08-19 05:50:00,4440,4.44
2024-08-19 05:55:00,4425,4.425
2024-08-19 06:00:00,5860,5.86
2024-08-19 06:05:00,5760,5.76
2024-08-19 06:10:00,6000,6.0
2024-08-19 06:15:00,5160,5.16
2024-08-19 06:20:00,4680,4.68
2024-08-19 06:25:00,5143,5.143
2024-08-19 06:30:00,5520,5.52
2024-08-19 06:35:00,5160,5.16
2024-08-19 06:40:00,4784,4.784
2024-08-19 06:45:00,4784,4.784
2024-08-19 06:50:00,5400,5.4
2024-08-19 06:55:00,5040,5.04
2024-08-19 07:00:00,6339,6.339
2024-08-19 07:05:00,13560,13.56
2024-08-19 07:10:00,47880,47.88
2024-08-19 07:15:00,69369,69.369
2024-08-19 07:20:00,77040,77.04
2024-08-19 07:25:00,94800,94.8
2024-08-19 07:30:00,94007,94.007
2024-08-19 07:35:00,100560,100.56
2024-08-19 07:40:00,111240,111.24
2024-08-19 07:45:00,114556,114.556
2024-08-19 07:50:00,144840,144.84
2024-08-19 07:55:00,144360,144.36
2024-08-19 08:00:00,137040,137.04
2024-08-19 08:05:00,161760,161.76
2024-08-19 08:10:00,164718,164.718
2024-08-19 08:15:00,163906,163.906
2024-08-19 08:20:00,172346,172.346
2024-08-19 08:25:00,179995,179.995
2024-08-19 08:30:00,171405,171.405
2024-08-19 08:35:00,175383,175.383
2024-08-19 08:40:00,169257,169.257
2024-08-19 08:45:00,174244,174.244
2024-08-19 08:50:00,170808,170.808
2024-08-19 08:55:00,190183,190.183
2024-08-19 09:00:00,189110,189.11
2024-08-19 09:05:00,198882,198.882
2024-08-19 09:10:00,183578,183.578
2024-08-19 09:15:00,186579,186.579
2024-08-19 09:20:00,193608,193.608
2024-08-19 09:25:00,183625,183.625
2024-08-19 09:30:00,184002,184.002
2024-08-19 09:35:00,197085,197.085
2024-08-19 09:40:00,198083,198.083
2024-08-19 09:45:00,186061,186.061
2024-08-19 09:50:00,189646,189.646
2024-08-19 09:55:00,204429,204.429
2024-08-19 10:00:00,209179,209.179
2024-08-19 10:05:00,208055,208.055
2024-08-19 10:10:00,198086,198.086
2024-08-19 10:15:00,203394,203.394
2024-08-19 10:20:00,204092,204.092
2024-08-19 10:25:00,201548,201.548
2024-08-19 10:30:00,205531,205.531
2024-08-19 10:35:00,206201,206.201
2024-08-19 10:40:00,208191,208.191
2024-08-19 10:45:00,217728,217.728
2024-08-19 10:50:00,224184,224.184
2024-08-19 10:55:00,216103,216.103
2024-08-19 11:00:00,205675,205.675
2024-08-19 11:05:00,205521,205.521
2024-08-19 11:10:00,205031,205.031
2024-08-19 11:15:00,204218,204.218
2024-08-19 11:20:00,204870,204.87
2024-08-19 11:25:00,213593,213.593
2024-08-19 11:30:00,219889,219.889
2024-08-19 11:35:00,223694,223.694
2024-08-19 11:40:00,222172,222.172
2024-08-19 11:45:00,225116,225.116
2024-08-19 11:50:00,228108,228.108
2024-08-19 11:55:00,228868,228.868
2024-08-19 12:00:00,239155,239.155
2024-08-19 12:05:00,235524,235.524
2024-08-19 12:10:00,223802,223.802
2024-08-19 12:15:00,236780,236.78
2024-08-19 12:20:00,235419,235.419
2024-08-19 12:25:00,244185,244.185
2024-08-19 12:30:00,232558,232.558
2024-08-19 12:35:00,245419,245.419
2024-08-19 12:40:00,235718,235.718
2024-08-19 12:45:00,228375,228.375
2024-08-19 12:50:00,244995,244.995
2024-08-19 12:55:00,243223,243.223
2024-08-19 13:00:00,240854,240.854
2024-08-19 13:05:00,233680,233.68
2024-08-19 13:10:00,217969,217.969
2024-08-19 13:15:00,183651,183.651
2024-08-19 13:20:00,152833,152.833
2024-08-19 13:25:00,147111,147.111
2024-08-19 13:30:00,137524,137.524
2024-08-19 13:35:00,133216,133.216
2024-08-19 13:40:00,137357,137.357
2024-08-19 13:45:00,125380,125.38
2024-08-19 13:50:00,130080,130.08
2024-08-19 13:55:00,139099,139.099
2024-08-19 14:00:00,137901,137.901
2024-08-19 14:05:00,139412,139.412
2024-08-19 14:10:00,173724,173.724
2024-08-19 14:15:00,221314,221.314
2024-08-19 14:20:00,237865,237.865
2024-08-19 14:25:00,243687,243.687
2024-08-19 14:30:00,243288,243.288
2024-08-19 14:35:00,244384,244.384
2024-08-19 14:40:00,242697,242.697
2024-08-19 14:45:00,237969,237.969
2024-08-19 14:50:00,247618,247.618
2024-08-19 14:55:00,241805,241.805
2024-08-19 15:00:00,229531,229.531
2024-08-19 15:05:00,235463,235.463
2024-08-19 15:10:00,221937,221.937
2024-08-19 15:15:00,224358,224.358
2024-08-19 15:20:00,226894,226.894
2024-08-19 15:25:00,223774,223.774
2024-08-19 15:30:00,222336,222.336
2024-08-19 15:35:00,217792,217.792
2024-08-19 15:40:00,207402,207.402
2024-08-19 15:45:00,219984,219.984
2024-08-19 15:50:00,213518,213.518
2024-08-19 15:55:00,214920,214.92
2024-08-19 16:00:00,221758,221.758
2024-08-19 16:05:00,202951,202.951
2024-08-19 16:10:00,202562,202.562
2024-08-19 16:15:00,200793,200.793
2024-08-19 16:20:00,206301,206.301
2024-08-19 16:25:00,204847,204.847
2024-08-19 16:30:00,202047,202.047
2024-08-19 16:35:00,204245,204.245
2024-08-19 16:40:00,199005,199.005
2024-08-19 16:45:00,214590,214.59
2024-08-19 16:50:00,215806,215.806
2024-08-19 16:55:00,208135,208.135
2024-08-19 17:00:00,209953,209.953
2024-08-19 17:05:00,203473,203.473
2024-08-19 17:10:00,206005,206.005
2024-08-19 17:15:00,209700,209.7
2024-08-19 17:20:00,205187,205.187
2024-08-19 17:25:00,210543,210.543
2024-08-19 17:30:00,196591,196.591
2024-08-19 17:35:00,194400,194.4
2024-08-19 17:40:00,196345,196.345
2024-08-19 17:45:00,195364,195.364
2024-08-19 17:50:00,196258,196.258
2024-08-19 17:55:00,194992,194.992
2024-08-19 18:00:00,179322,179.322
2024-08-19 18:05:00,198019,198.019
2024-08-19 18:10:00,195621,195.621
2024-08-19 18:15:00,184095,184.095
2024-08-19 18:20:00,195036,195.036
2024-08-19 18:25:00,184198,184.198
2024-08-19 18:30:00,196466,196.466
2024-08-19 18:35:00,195278,195.278
2024-08-19 18:40:00,193042,193.042
2024-08-19 18:45:00,195897,195.897
2024-08-19 18:50:00,167825,167.825
2024-08-19 18:55:00,164675,164.675
2024-08-19 19:00:00,164524,164.524
2024-08-19 19:05:00,159360,159.36
2024-08-19 19:10:00,149400,149.4
2024-08-19 19:15:00,129000,129.0
2024-08-19 19:20:00,105000,105.0
2024-08-19 19:25:00,109680,109.68
2024-08-19 19:30:00,120720,120.72
2024-08-19 19:35:00,107040,107.04
2024-08-19 19:40:00,109440,109.44
2024-08-19 19:45:00,105720,105.72
2024-08-19 19:50:00,115560,115.56
2024-08-19 19:55:00,104520,104.52
2024-08-19 20:00:00,110631,110.631
2024-08-19 20:05:00,110990,110.99
2024-08-19 20:10:00,114600,114.6
2024-08-19 20:15:00,109200,109.2
2024-08-19 20:20:00,111349,111.349
2024-08-19 20:25:00,111000,111.0
2024-08-19 20:30:00,115200,115.2
2024-08-19 20:35:00,104532,104.532
2024-08-19 20:40:00,109794,109.794
2024-08-19 20:45:00,107400,107.4
2024-08-19 20:50:00,107880,107.88
2024-08-19 20:55:00,104412,104.412
2024-08-19 21:00:00,108120,108.12
2024-08-19 21:05:00,104880,104.88
2024-08-19 21:10:00,103336,103.336
2024-08-19 21:15:00,115200,115.2
2024-08-19 21:20:00,111360,111.36
2024-08-19 21:25:00,107640,107.64
2024-08-19 21:30:00,100800,100.8
2024-08-19 21:35:00,105728,105.728
2024-08-19 21:40:00,105967,105.967
2024-08-19 21:45:00,114480,114.48
2024-08-19 21:50:00,108840,108.84
2024-08-19 21:55:00,111588,111.588
2024-08-19 22:00:00,111120,111.12
2024-08-19 22:05:00,103920,103.92
2024-08-19 22:10:00,109076,109.076
2024-08-19 22:15:00,100824,100.824
2024-08-19 22:20:00,103320,103.32
2024-08-19 22:25:00,109560,109.56
2024-08-19 22:30:00,100680,100.68
2024-08-19 22:35:00,104160,104.16
2024-08-19 22:40:00,98073,98.073
2024-08-19 22:45:00,97440,97.44
2024-08-19 22:50:00,105240,105.24
2024-08-19 22:55:00,104543,104.543
2024-08-19 23:00:00,104400,104.4
2024-08-19 23:05:00,105120,105.12
2024-08-19 23:10:00,96040,96.04
2024-08-19 23:15:00,93840,93.84
2024-08-19 23:20:00,92160,92.16
2024-08-19 23:25:00,89821,89.821
2024-08-19 23:30:00,89040,89.04
2024-08-19 23:35:00,84720,84.72
2024-08-19 23:40:00,83880,83.88
2024-08-19 23:45:00,78720,78.72
2024-08-19 23:50:00,78578,78.578
2024-08-19 23:55:00,85440,85.44
